line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Waiting for signal change,True,Neutral,,,11228,online,2019-01-07,20:12:00,1,Monday,20,False
N,~5 days per week,Citibike,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Walk,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11106,online,2019-01-07,20:12:00,1,Monday,20,False
N,"More than once a week, varies",Walk,Other,40 - 60 min,Neutral,Rarely,20 - 45 min,Use another train,Only on weekends,,Waiting for signal change,True,Negative,,,11220,online,2019-01-07,20:12:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-07,20:13:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Waiting for signal change,True,Neutral,,,11228,online,2019-01-07,20:13:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,"['Crime / Safety', 'Station infrastructure', 'Overcrowded trains']",No reason is given,True,Neutral,,,11372,online,2019-01-07,20:14:00,1,Monday,20,False
1,"More than once a week, varies",Walk,School,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,,Train traffic,True,Neutral,,,11225,online,2019-01-07,20:14:00,1,Monday,20,False
C,"More than once a week, varies",,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-07,20:15:00,1,Monday,20,False
7,Once a week,Bus,Other,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Positive,,,11358,online,2019-01-07,20:15:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-07,20:15:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,Other,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,,Train traffic,True,Negative,,,10466,online,2019-01-07,20:15:00,1,Monday,20,False
L,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Old trains']",Train traffic,True,Positive,,,11211,online,2019-01-07,20:15:00,1,Monday,20,False
E,Everyday / Almost everyday,Citibike,Work,< 20 min,Not satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",,True,Positive,,,,online,2019-01-07,20:15:00,1,Monday,20,False
Q,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,,,11215,online,2019-01-07,20:16:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,11372,online,2019-01-07,20:16:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Rarely,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'High fares', 'Lack of handicap access']",Train traffic,False,Positive,,,,online,2019-01-07,20:17:00,1,Monday,20,False
A,~5 days per week,Walk,School,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Crime / Safety']",Waiting for signal change,True,Neutral,,,10033,online,2019-01-07,20:17:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Lack of handicap access']",Signal malfunction,True,Neutral,,,11220,online,2019-01-07,20:17:00,1,Monday,20,False
L,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Neutral,,,,online,2019-01-07,20:17:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Neutral,,,11209,online,2019-01-07,20:18:00,1,Monday,20,False
7,"Weekdays, Mon - Fri",Bus,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,20:18:00,1,Monday,20,False
E,"More than once a week, varies",Walk,,20 - 40 min,Not satisfied,A few times a week,,Use another train,Only on weekends,"['Delays', 'Frequent route changes']",Train traffic,True,,,,,online,2019-01-07,20:18:00,1,Monday,20,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,11216,online,2019-01-07,20:18:00,1,Monday,20,False
1,"More than once a week, varies",Bus,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,True,Positive,,,11222,online,2019-01-07,20:18:00,1,Monday,20,False
2,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,10025,online,2019-01-07,20:18:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,10002,online,2019-01-07,20:19:00,1,Monday,20,False
3,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Lack of handicap access']",No reason is given,True,Positive,,,11217,online,2019-01-07,20:19:00,1,Monday,20,False
7,~5 days per week,Walk,Work,20 - 40 min,Very satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,['Overcrowded trains'],Signal malfunction,True,Other / No thoughts,,,11104,online,2019-01-07,20:19:00,1,Monday,20,False
G,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'High fares', 'Overcrowded trains']",No reason is given,False,Positive,,,,online,2019-01-07,20:19:00,1,Monday,20,False
Q,"More than once a week, varies",Walk,Other,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['High fares', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,NY,online,2019-01-07,20:20:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,,Train traffic,True,Positive,,,11374,online,2019-01-07,20:20:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Old trains']",Train traffic,True,Positive,,,10011,online,2019-01-07,20:21:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Signal malfunction,False,Positive,,,,online,2019-01-07,20:21:00,1,Monday,20,False
F,Once a month,Walk,Other,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-07,20:22:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Other,< 20 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Unaware,,,10014,online,2019-01-07,20:22:00,1,Monday,20,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Customer service', 'Old trains']",Train traffic,False,Positive,,,,online,2019-01-07,20:24:00,1,Monday,20,False
A,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Customer service', 'Station infrastructure', 'Old trains']",Signal malfunction,True,Neutral,,,10031,online,2019-01-07,20:24:00,1,Monday,20,False
D,~5 days per week,Walk,Work,60 - 90 min,Neutral,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-07,20:24:00,1,Monday,20,False
F,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,10002,online,2019-01-07,20:25:00,1,Monday,20,False
R,"More than once a week, varies",Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,,,11209,online,2019-01-07,20:25:00,1,Monday,20,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,,Only on weekends,"['High fares', 'Station infrastructure', 'Overcrowded trains']",No reason is given,False,Positive,,,11226,online,2019-01-07,20:25:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,True,Positive,,,11209,online,2019-01-07,20:25:00,1,Monday,20,False
R,Once a month,Walk,Other,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,False,Negative,,,11209,online,2019-01-07,20:26:00,1,Monday,20,False
1,"Weekdays, Mon - Fri",Bus,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Sick passenger,False,Positive,,,11378,online,2019-01-07,20:26:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,School,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,All the time,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-07,20:26:00,1,Monday,20,False
C,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,False,Positive,,,11238,online,2019-01-07,20:26:00,1,Monday,20,False
W,Everyday / Almost everyday,Path / NJ Transit,Work,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['High fares', 'Station infrastructure', 'Old trains']",Train traffic,False,Negative,,,,online,2019-01-07,20:29:00,1,Monday,20,False
C,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,False,Positive,,,,online,2019-01-07,20:29:00,1,Monday,20,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,11102,online,2019-01-07,20:29:00,1,Monday,20,False
F,~5 days per week,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Unaware,,,11372,online,2019-01-07,20:29:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,11209,online,2019-01-07,20:29:00,1,Monday,20,False
C,Everyday / Almost everyday,Walk,Work,< 20 min,Highly unsatisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Old trains']",Train traffic,True,Positive,,,,online,2019-01-07,20:30:00,1,Monday,20,False
7,Everyday / Almost everyday,Bus,Work,60 - 90 min,Not satisfied,A few times a week,5 - 10 min,Take a bus,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Negative,,,11369,online,2019-01-07,20:31:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Customer service']",No reason is given,True,Positive,,,,online,2019-01-07,20:32:00,1,Monday,20,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Very satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Unaware,,,,online,2019-01-07,20:33:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",No reason is given,True,Other / No thoughts,,,,online,2019-01-07,20:34:00,1,Monday,20,False
4,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,,online,2019-01-07,20:35:00,1,Monday,20,False
6,"More than once a week, varies",Walk,Work,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,All the time,"['Crime / Safety', 'Old trains', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-07,20:35:00,1,Monday,20,False
R,"More than once a week, varies",Walk,Work,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Bike,Only on weekends,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,11215,online,2019-01-07,20:36:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Neutral,,,11372,online,2019-01-07,20:36:00,1,Monday,20,False
1,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Not satisfied,A few times a week,10 - 20 min,,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-07,20:36:00,1,Monday,20,False
E,"More than once a week, varies",Bus,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Customer service', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-07,20:37:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Lack of handicap access']",Train traffic,True,Positive,,,11372,online,2019-01-07,20:37:00,1,Monday,20,False
1,"Weekdays, Mon - Fri",Metro North,Work,< 20 min,Not satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-07,20:37:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'High fares']",Signal malfunction,False,Negative,,,11209,online,2019-01-07,20:39:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Other,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only at night,"['Delays', 'Customer service', 'Lack of handicap access']",Train traffic,True,Positive,,,11209,online,2019-01-07,20:39:00,1,Monday,20,False
6,Everyday / Almost everyday,Walk,Other,< 20 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Sick passenger,True,Positive,,,10003,online,2019-01-07,20:40:00,1,Monday,20,False
7,"More than once a week, varies",Bus,Other,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",Signal malfunction,True,Positive,,,11355,online,2019-01-07,20:40:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Bike,Only at night,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,11209,online,2019-01-07,20:40:00,1,Monday,20,False
Q,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",No reason is given,False,Positive,,,11226,online,2019-01-07,20:41:00,1,Monday,20,False
6,Once a month,Metro North,Other,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Waiting for signal change,False,Positive,,,,online,2019-01-07,20:41:00,1,Monday,20,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Walk,Only on weekends,"['Delays', 'Frequent route changes', 'Crime / Safety']",Signal malfunction,True,Negative,,,11372,online,2019-01-07,20:41:00,1,Monday,20,False
2,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Customer service', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Neutral,,,10023,online,2019-01-07,20:41:00,1,Monday,20,False
R,"More than once a week, varies",Walk,Other,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Signal malfunction,True,Positive,,,11290,online,2019-01-07,20:42:00,1,Monday,20,False
7,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11377,online,2019-01-07,20:42:00,1,Monday,20,False
M,"More than once a week, varies",Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Customer service']",Signal malfunction,False,Positive,,,11103,online,2019-01-07,20:42:00,1,Monday,20,False
7,"Weekdays, Mon - Fri",Walk,School,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,False,Negative,,,11372,online,2019-01-07,20:42:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Station infrastructure']",Train traffic,True,Positive,,,,online,2019-01-07,20:42:00,1,Monday,20,False
1,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",No reason is given,True,Neutral,,,,online,2019-01-07,20:43:00,1,Monday,20,False
6,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,"['Delays', 'Customer service', 'Station infrastructure']",Signal malfunction,True,Neutral,,,,online,2019-01-07,20:43:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Waiting for signal change,False,Negative,,,,online,2019-01-07,20:43:00,1,Monday,20,False
Q,Once a week,Walk,Other,40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Signal malfunction,True,Positive,,,11226,online,2019-01-07,20:44:00,1,Monday,20,False
A,~5 days per week,Walk,Other,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Signal malfunction,True,Neutral,,,,online,2019-01-07,20:44:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Signal malfunction,True,Unaware,,,,online,2019-01-07,20:44:00,1,Monday,20,False
G,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Old trains']",Waiting for signal change,True,Positive,,,11238,online,2019-01-07,20:45:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-07,20:46:00,1,Monday,20,False
A,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Customer service']",Signal malfunction,False,Negative,,,,online,2019-01-07,20:47:00,1,Monday,20,False
1,"More than once a week, varies",Walk,Work,60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only at night,"['Crime / Safety', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,11209,online,2019-01-07,20:48:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,False,Negative,,,11209,online,2019-01-07,20:48:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Old trains', 'Overcrowded trains']",Signal malfunction,True,Positive,,,11209,online,2019-01-07,20:49:00,1,Monday,20,False
N,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Waiting for signal change,True,Positive,,,11105,online,2019-01-07,20:49:00,1,Monday,20,False
E,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",No reason is given,False,Positive,,,11374,online,2019-01-07,20:51:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only at night,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Neutral,,,11209,online,2019-01-07,20:51:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'Old trains', 'Overcrowded trains']",Train traffic,True,Positive,,,11201,online,2019-01-07,20:51:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-07,20:51:00,1,Monday,20,False
R,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Station infrastructure', 'Old trains', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11379,online,2019-01-07,20:51:00,1,Monday,20,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,False,Positive,,,11209,online,2019-01-07,20:51:00,1,Monday,20,False
6,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Walk,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Negative,,,,online,2019-01-07,20:52:00,1,Monday,20,False
4,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Customer service', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,,online,2019-01-07,20:53:00,1,Monday,20,False
1,Everyday / Almost everyday,Walk,School,< 20 min,Not satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['High fares', 'Old trains', 'Overcrowded trains']",Waiting for signal change,False,Negative,,,,online,2019-01-07,20:54:00,1,Monday,20,False
Q,~5 days per week,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,,online,2019-01-07,20:55:00,1,Monday,20,False
C,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Positive,,,10025,online,2019-01-07,20:55:00,1,Monday,20,False
C,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,10025,online,2019-01-07,20:56:00,1,Monday,20,False
1,"More than once a week, varies",Walk,Work,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",No reason is given,False,Negative,,,11209,online,2019-01-07,20:56:00,1,Monday,20,False
F,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,True,Positive,,,10044,online,2019-01-07,20:56:00,1,Monday,20,False
D,Everyday / Almost everyday,Walk,School,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,,online,2019-01-07,20:57:00,1,Monday,20,False
